SQ_CANDIDATO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_UF;SG_PARTIDO;NM_PARTIDO;DS_SIT_TOT_TURNO;QT_VOTOS_TOTAL;VR_DESPESA_TOTAL;POPULACAO;CUSTO_POR_VOTO;CUSTO_POR_HABITANTE
250001620729;5129;RUZINON SILVA;ZINON SILVÁ;SP;PATRIOTA;Patriota;NÃO ELEITO;255;0.0;44420459;0.0;0.0
250001620730;5164;PAULA DANIELA DE JESUS;PROFESSORA PAULA;SP;PATRIOTA;Patriota;NÃO ELEITO;127;19916.0;44420459;156.8188976377953;0.0004483519632248735
250001620735;5145;GLAUCIA MAXIMO DOS SANTOS;GLAUCIA MAXIMO;SP;PATRIOTA;Patriota;NÃO ELEITO;764;103671.1;44420459;135.69515706806283;0.0023338592696667093
250001620740;5153;FERNANDO BELCHIOR DIAS;FERNANDO DIAS;SP;PATRIOTA;Patriota;NÃO ELEITO;2350;100000.0;44420459;42.5531914893617;0.002251214918783257
250001620741;5166;PATRICIA SIQUEIRA NERI;SUBTENENTE SIQUEIRA NERI;SP;PATRIOTA;Patriota;NÃO ELEITO;701;20000.0;44420459;28.530670470756064;0.0004502429837566514
250001620750;5101;TERESINHA DE CARVALHO;DELEGADA TERESINHA;SP;PATRIOTA;Patriota;NÃO ELEITO;3970;599975.8;44420459;151.12740554156173;0.013506744718689198
250001717176;3662;CICERO SANTANA DA SILVA;CICERO PERUEIRO;SP;AGIR;AGIR;NÃO ELEITO;120;0.0;44420459;0.0;0.0
250001717177;3663;ELIAS TEIXEIRA;ELIAS TEIXEIRA TREINADOR;SP;AGIR;AGIR;NÃO ELEITO;205;0.0;44420459;0.0;0.0
250001717178;3676;FLAVIO ROBERTO CASIMIRO;FLAVIO DA TANATO;SP;AGIR;AGIR;NÃO ELEITO;307;30000.0;44420459;97.71986970684038;0.0006753644756349772
250001717180;3640;GONZAGA MENDES DE OLIVEIRA;OLIVEIRA;SP;AGIR;AGIR;NÃO ELEITO;282;10000.0;44420459;35.46099290780142;0.0002251214918783257
250001717181;3637;IRIS MARIA BARROS DE BRITO;DRA IRIS;SP;AGIR;AGIR;NÃO ELEITO;376;13499.999999999998;44420459;35.90425531914893;0.00030391401403573966
160001614482;1430;ELTON ANDRE WINK TECCHIO;ANDRÉ TECCHIO;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;423;21233.0;11443208;50.19621749408984;0.0018555111468741981
160001614485;1415;JOÃO ADIR CARDOSO;ADIR CARDOSO;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;208;10000.0;11443208;48.07692307692308;0.0008738808208327595
160001614490;1408;MARILEI LOPES VIEIRA;MARILEI VIEIRA;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;205;10000.0;11443208;48.78048780487805;0.0008738808208327595
160001614499;1450;WAGNER SABINO;DR WAGNER SABINO;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;1749;30000.0;11443208;17.152658662092623;0.0026216424624982784
160001614500;1417;ROSICLER RODRIGUES BEZERRA;ROSICLER BEZERRA;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;46;10000.0;11443208;217.3913043478261;0.0008738808208327595
160001614474;1470;ALBERTO JUBANSKI;JUBANSKI CONSERVADOR;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;999;20000.0;11443208;20.02002002002002;0.001747761641665519
250001613978;3371;SANDRO FERREIRA DE SOUZA;SANDRO FERREIRA;SP;PMN;Partido da Mobilização Nacional;NÃO ELEITO;40;19966.35;44420459;499.15874999999994;0.0004494854499364808
250001620752;5183;ULISSES HENRIQUE MATIAS COSTA;ULISSES COSTA;SP;PATRIOTA;Patriota;NÃO ELEITO;3690;0.0;44420459;0.0;0.0
130001612818;2811;KARINA DA SILVA FICHE ALMEIDA;KARINA FICHE;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;152;1500.0;20538718;9.868421052631579;7.303279591257839e-05
130001612808;2844;FRANCISCO CLÁUDIO FERREIRA;FRANCISCO ADVOGADO;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;728;20000.0;20538718;27.47252747252747;0.0009737706121677117
